@relation D14
@attribute att15 real
@attribute att16 real
@attribute att17 real
@attribute att18 real
@attribute att19 real
@attribute att20 real
@attribute class {14,15}
@data
2.95798,0.105703,2.47893,0.399845,2.61826,0.577102,15
2.25574,0.183201,2.42573,0.666151,2.2799,0.304794,15
2.11927,0.286584,2.5761,0.31784,2.56515,0.659789,15
2.57568,0.110869,2.521,0.420433,2.30923,0.580303,15
2.24356,0.752416,2.62565,0.237058,2.68508,0.654095,14
2.63049,0.573197,2.62099,0.818945,2.35772,0.313766,14
2.15466,0.712015,2.48076,0.386442,2.62517,0.495325,14
2.08178,0.743204,2.38763,0.437214,2.5037,0.435431,14
2.60559,0.798966,2.71088,0.68921,2.5004,0.5953,14
2.95192,0.804851,2.70884,0.460602,2.50218,0.524695,14
2.89629,0.454011,2.73343,0.481395,2.64702,0.626682,14
2.68222,0.29094,2.29698,0.360728,2.46668,0.351331,14
2.71772,0.450768,2.38283,0.27416,2.63942,0.476356,15
2.77669,0.787671,2.56234,0.551032,2.65295,0.595723,14
2.92826,0.91135,2.51561,0.411002,2.29395,0.392956,14
2.90931,0.631803,2.64827,0.724592,2.31885,0.547511,14
2.62255,0.397104,2.44407,0.510612,2.65179,0.717947,14
2.68331,0.871404,2.5617,0.62156,2.58269,0.603552,14
2.29915,0.895409,2.50128,0.564711,2.59018,0.555549,14
2.79444,0.416333,2.34986,0.394037,2.62148,0.554296,15
2.59892,0.401216,2.48667,0.377108,2.58701,0.606015,14
2.95214,0.775148,2.78377,0.668352,2.29737,0.369954,14
2.59084,0.464988,2.22481,0.401664,2.52245,0.408297,14
2.54312,0.756309,2.60504,0.196136,2.5464,0.487959,14
2.37181,0.980418,2.59679,0.539106,2.36511,0.469715,14
2.47652,0.570353,2.57531,0.599917,2.7414,0.44707,14
2.74334,0.863848,2.56703,0.714494,2.60286,0.698056,14
2.74305,0.829344,2.35116,0.284417,2.68338,0.542827,14
2.73999,0.952896,2.61229,0.438198,2.29677,0.398528,14
2.33474,0.747662,2.37708,0.466546,2.48984,0.47476,14
2.8982,0.644193,2.3295,0.448631,2.50242,0.31028,14
2.85368,0.502377,2.45829,0.545291,2.39873,0.143228,14
2.62111,0.930832,2.58943,0.78097,2.26233,0.26203,14
2.45167,0.721594,2.46338,0.50529,2.44591,0.460111,14
2.37516,0.778206,2.38437,0.3607,2.70887,0.534823,14
2.21848,0.820335,2.4943,0.695003,2.42633,0.484637,14
2.48154,0.980681,2.54982,0.639792,2.41193,0.438167,14
2.20413,0.790855,2.79149,0.581593,2.68111,0.496857,14
2.45069,0.788062,2.50692,0.818601,2.53459,0.64637,14
2.67007,0.946514,2.47895,0.399127,2.6458,0.609143,14
2.92492,0.548068,2.30177,0.451062,2.54077,0.36187,14
2.78104,0.971443,2.5219,0.647895,2.42329,0.379893,14
2.97616,0.631352,2.50914,0.309371,2.47773,0.461766,14
2.92404,0.434266,2.47288,0.428605,2.29486,0.389511,14
2.61424,0.888371,2.38561,0.281919,2.43505,0.307829,14
2.39135,0.77409,2.60837,0.424139,2.32197,0.304591,14
2.82785,0.877365,2.36243,0.339033,2.56132,0.244189,14
2.70316,0.769982,2.43568,0.547619,2.46271,0.549252,14
2.10667,0.972892,2.52243,0.69397,2.33649,0.461674,14
2.45755,0.611224,2.41232,0.55601,2.67397,0.792423,14
2.45689,0.886235,2.5868,0.704726,2.47097,0.476682,14
2.0188,0.589162,2.5982,0.492958,2.29331,0.454059,14
2.79931,0.626799,2.57879,0.498962,2.40908,0.35892,14
2.32365,0.357892,2.19082,0.34314,2.48826,0.538632,15
2.50606,0.029907,2.5925,0.475969,2.42601,0.42161,15
2.74831,0.228011,2.35907,0.418412,2.52427,0.557498,15
2.87911,0.319271,2.42194,0.381284,2.37392,0.26234,15
2.24643,0.508588,2.54694,0.491234,2.2773,0.533553,14
2.81193,0.160564,2.28984,0.311954,2.31614,0.42697,15
2.67953,0.110008,2.8613,0.67961,2.28511,0.472307,15
2.25698,0.370885,2.65264,0.434745,2.36054,0.365495,15
2.59519,0.0343046,2.52046,0.600346,2.47722,0.787136,15
2.00217,0.000179595,2.3587,0.292976,2.54414,0.762428,15
2.6121,0.143313,2.64394,0.57339,2.76534,0.671448,15
2.44896,0.0584413,2.39082,0.401714,2.3294,0.250473,15
2.87244,0.232622,2.71014,0.464285,2.48889,0.418066,15
2.33889,0.275064,2.41709,0.752394,2.49986,0.640461,15
2.97032,0.10902,2.52099,0.731121,2.50052,0.28762,15
2.41577,0.589404,2.43265,0.327241,2.95622,0.809192,15
2.29582,0.732178,2.50303,0.624214,2.32491,0.483034,15
2.34616,0.393723,2.49902,0.477959,2.63378,0.686424,15
2.36378,0.0330655,2.47453,0.5223,2.27901,0.378097,15
2.44486,0.511855,2.44096,0.622445,2.44851,0.338619,15
2.89442,0.0725573,2.59345,0.71259,2.4207,0.487239,15
2.12648,0.195662,2.62037,0.573916,2.54901,0.520813,15
2.17355,0.348639,2.68094,0.63435,2.50157,0.519842,15
2.64556,0.0596511,2.52681,0.411484,2.28097,0.268506,15
2.85429,0.0809352,2.46733,0.436315,2.39496,0.280736,15
2.31324,0.544042,2.59924,0.554394,2.51768,0.386626,14
2.72878,0.21603,2.57186,0.596635,2.62502,0.647318,15
2.72024,0.165072,2.60567,0.500246,2.46437,0.510196,15
2.27496,0.083951,2.67231,0.540744,2.59188,0.627788,15
2.84269,0.0288896,2.50787,0.54669,2.65173,0.510917,15
2.36974,0.555641,2.52879,0.63865,2.50751,0.465063,15
2.28626,0.602051,2.35511,0.53084,2.26742,0.435779,15
2.01041,0.159556,2.59145,0.716336,2.29048,0.415242,15
2.65272,0.187564,2.45674,0.558615,2.5826,0.549995,15
2.94171,0.0237903,2.51025,0.62506,2.2863,0.345527,15
2.05967,0.540544,2.62226,0.600444,2.5867,0.483197,15
2.63493,0.250559,2.27003,0.460654,2.39367,0.827109,15
2.20348,0.485385,2.4286,0.456908,2.6764,0.523536,14
2.86538,0.126164,2.62298,0.618316,2.64483,0.828821,15
2.43739,0.00474762,2.34645,0.381899,2.5361,0.68041,15
2.53109,0.192275,2.35196,0.701076,2.54449,0.772004,15
2.21409,0.0315046,2.61923,0.544912,2.3646,0.303246,15
2.83879,0.177637,2.69036,0.60567,2.50688,0.571067,15
2.93476,0.139696,2.29589,0.435214,2.50605,0.530425,15
2.29204,0.0795393,2.59592,0.597017,2.40083,0.57505,15
2.4029,0.18848,2.51031,0.524468,2.63042,0.402082,15
2.10381,0.542683,2.38647,0.494722,2.41255,0.541284,15
2.4763,0.534994,2.68604,0.515815,2.4967,0.41815,15
2.41375,0.173123,2.30167,0.424627,2.52535,0.688553,15
2.95601,0.397702,2.47247,0.718096,2.49309,0.485527,15
2.23264,0.0316857,2.42084,0.710147,2.35173,0.455272,15
2.2776,0.883875,2.64645,0.608513,2.39714,0.330956,14
2.78845,0.60148,2.35856,0.30041,2.55742,0.357866,14
2.2481,0.941562,2.4517,0.206953,2.76715,0.532963,14
2.15926,0.724373,2.58258,0.430663,2.56203,0.649452,14
2.65116,0.748126,2.42487,0.499896,2.34125,0.455172,14
2.72947,0.353274,2.57167,0.766247,2.51172,0.453896,14
2.17423,0.760388,2.41258,0.541748,2.52542,0.593923,14
2.23343,0.980105,2.47788,0.6452,2.6046,0.319129,14
2.52129,0.891662,2.53578,0.772981,2.22538,0.413135,14
2.38476,0.740368,2.61314,0.536935,2.56667,0.752671,14
2.24594,0.934823,2.50596,0.300379,2.73129,0.639587,14
2.77981,0.409523,2.30996,0.524957,2.81818,0.491571,15
2.19623,0.915457,2.66421,0.616869,2.48929,0.57428,14
2.84042,0.955848,2.75348,0.704679,2.32288,0.425969,14
2.82484,0.890503,2.5352,0.484329,2.30432,0.461467,14
2.75658,0.991768,2.65901,0.568228,2.37237,0.4088,14
2.76232,0.471292,2.40581,0.334256,2.64937,0.779192,15
2.50595,0.516678,2.42128,0.458067,2.44229,0.654051,14
2.73571,0.808053,2.55863,0.652,2.61682,0.612978,14
2.54704,0.734845,2.367,0.447785,2.25578,0.32972,14
2.90378,0.746975,2.72084,0.506919,2.40974,0.475176,14
2.53577,0.92085,2.66793,0.606298,2.79713,0.409576,14
2.67545,0.592644,2.48566,0.668374,2.60613,0.567416,14
2.49407,0.686079,2.48541,0.624489,2.58146,0.539402,14
2.67295,0.783728,2.37621,0.356257,2.17152,0.487777,14
2.50045,0.956523,2.34634,0.428124,2.75122,0.528065,14
2.11945,0.857949,2.27123,0.401127,2.65524,0.703109,14
2.38969,0.748094,2.53317,0.660243,2.42878,0.325722,14
2.946,0.477517,2.40493,0.687061,2.57096,0.679119,14
2.14774,0.845041,2.72707,0.52094,2.51543,0.429748,14
2.37677,0.909404,2.28097,0.264712,2.65134,0.561433,14
2.85222,0.945763,2.49067,0.881407,2.30564,0.367905,14
2.35425,0.896732,2.20335,0.219112,2.68968,0.680587,14
2.23568,0.768598,2.38062,0.226123,2.53542,0.75455,14
2.00862,0.961499,2.54574,0.527935,2.46523,0.234684,14
2.82295,0.659705,2.39174,0.331408,2.57513,0.6066,14
2.51548,0.489719,2.62254,0.638272,2.62917,0.640068,14
2.49334,0.699547,2.54628,0.472429,2.37151,0.429495,14
2.6085,0.852427,2.43645,0.507471,2.238,0.282921,14
2.43705,0.956814,2.38482,0.476678,2.5698,0.500229,14
2.31747,0.769933,2.39331,0.508547,2.28882,0.20507,14
2.3222,0.911656,2.40185,0.410892,2.26696,0.405921,14
2.7329,0.534821,2.55488,0.447864,2.40497,0.442635,15
2.66362,0.684238,2.50344,0.564008,2.45301,0.360292,14
2.56456,0.792145,2.51831,0.346453,2.67106,0.545735,14
2.94986,0.960236,2.44986,0.229932,2.51675,0.479457,14
2.37757,0.99983,2.73857,0.635714,2.52066,0.410491,14
2.11985,0.673561,2.6307,0.592417,2.54728,0.570385,14
2.85609,0.359673,2.42607,0.355923,2.46693,0.417469,14
2.28991,0.973352,2.66762,0.410026,2.77013,0.526459,14
2.09231,0.295899,2.53793,0.546822,2.61077,0.636067,15
2.56768,0.301638,2.62984,0.580014,2.6041,0.627053,15
2.84506,0.00551467,2.60169,0.609852,2.53137,0.444397,15
2.00929,0.137983,2.29212,0.363107,2.41578,0.312816,15
2.31326,0.175212,2.39958,0.337303,2.33871,0.319731,15
2.70521,0.222327,2.44623,0.266941,2.7633,0.733825,15
2.18563,0.484304,2.67671,0.555967,2.58707,0.59966,14
2.33975,0.170837,2.57178,0.73815,2.54651,0.641701,15
2.18426,0.696564,2.5815,0.399041,2.80383,0.648319,15
2.29649,0.0657893,2.30793,0.377782,2.50771,0.349775,15
2.07055,0.2783,2.60045,0.602972,2.4411,0.560769,15
2.61779,0.151871,2.5978,0.673588,2.29214,0.294139,15
2.61446,0.162781,2.36085,0.696825,2.47976,0.534156,15
2.15437,0.393903,2.58629,0.554831,2.52212,0.343192,15
2.32753,0.666467,2.55517,0.3545,2.24007,0.378022,15
2.4712,0.0924882,2.52398,0.656259,2.71893,0.513413,15
2.60254,0.072881,2.49184,0.574588,2.38356,0.550436,15
2.92549,0.165444,2.75322,0.575595,2.13984,0.393609,15
2.82486,0.109979,2.31802,0.429325,2.57058,0.373281,15
2.10334,0.342512,2.44627,0.420539,2.65651,0.733384,15
2.18507,0.449354,2.36355,0.475315,2.52177,0.502128,14
2.14199,0.184161,2.46439,0.659085,2.46432,0.51227,15
2.6868,0.177469,2.63845,0.546604,2.72188,0.501154,15
2.75176,0.155576,2.60567,0.552902,2.41028,0.373918,15
2.92868,0.116066,2.44094,0.34481,2.37148,0.396583,15
2.3628,0.0386018,2.54623,0.792512,2.39412,0.37895,15
2.24847,0.025113,2.45799,0.537292,2.23152,0.701485,15
2.66726,0.0291661,2.3406,0.336696,2.81831,0.60369,15
2.35105,0.162667,2.29619,0.471678,2.36715,0.268072,15
2.18253,0.405221,2.61484,0.566941,2.82387,0.767974,15
2.41284,0.031146,2.55028,0.476628,2.3591,0.26051,15
2.07371,0.118021,2.5431,0.460196,2.56471,0.642674,15
2.62483,0.32231,2.42513,0.516709,2.30385,0.22567,15
2.63483,0.180073,2.52355,0.439701,2.74813,0.697821,15
2.85408,0.166387,2.57826,0.619213,2.63228,0.582416,15
2.96895,0.328152,2.76891,0.440882,2.27506,0.365088,15
2.05846,0.304638,2.33999,0.549995,2.61606,0.361698,15
2.56992,0.359271,2.53925,0.686157,2.54658,0.467609,15
2.07139,0.231542,2.42082,0.280826,2.6261,0.734089,15
2.19041,0.0359496,2.23301,0.438042,2.3526,0.605448,15
2.50875,0.0346996,2.29135,0.225499,2.53118,0.452238,15
2.29849,0.630597,2.59372,0.629813,2.58324,0.540424,15
2.29198,0.470873,2.42935,0.555441,2.66897,0.644726,14
2.41425,0.0368956,2.32233,0.305511,2.29358,0.534659,15
2.92817,0.134593,2.33739,0.354993,2.29389,0.576063,15
2.09871,0.0971145,2.61869,0.869332,2.41299,0.354219,15
2.41622,0.212551,2.6585,0.646968,2.36271,0.42731,15
2.92739,0.123116,2.35191,0.454244,2.46776,0.349567,15
2.89783,0.137438,2.63021,0.625688,2.42068,0.320785,15
2.34726,0.135731,2.63598,0.71965,2.39282,0.678337,15
2.14665,0.972769,2.47461,0.364423,2.50085,0.392758,14
2.46966,0.699523,2.57578,0.573435,2.67283,0.317682,14
2.3413,0.991238,2.36952,0.451109,2.46182,0.496903,14
2.92702,0.766931,2.39133,0.406722,2.42894,0.272936,14
2.69939,0.463293,2.51127,0.572921,2.61153,0.555791,15
2.01249,0.801455,2.49858,0.514001,2.54599,0.631978,14
2.28552,0.997773,2.44383,0.376257,2.42079,0.667918,14
2.80398,0.342568,2.62961,0.481353,2.6988,0.478576,14
2.44634,0.767973,2.2907,0.570689,2.50679,0.670974,14
2.4398,0.773431,2.73228,0.760164,2.70439,0.597105,14
2.23642,0.904221,2.60238,0.748941,2.59638,0.544302,14
2.53765,0.798699,2.71619,0.758158,2.62669,0.559478,14
2.21682,0.874973,2.38117,0.244212,2.22084,0.384275,14
2.53533,0.460164,2.71005,0.50323,2.49956,0.673615,14
2.87591,0.657077,2.42096,0.395388,2.49458,0.523007,14
2.71184,0.929995,2.61707,0.661734,2.43965,0.427348,14
2.69096,0.835461,2.54824,0.584538,2.60989,0.585837,14
2.79212,0.627895,2.47543,0.356151,2.73965,0.626161,14
2.00188,0.707119,2.49485,0.572645,2.36125,0.374562,14
2.35737,0.968307,2.67071,0.686139,2.56749,0.579505,14
2.2965,0.745546,2.36533,0.240546,2.47233,0.383336,14
2.34189,0.776,2.64398,0.486821,2.57334,0.626206,14
2.58349,0.645283,2.47325,0.450229,2.24023,0.396422,14
2.93488,0.666681,2.41924,0.528,2.63141,0.648617,14
2.87512,0.617922,2.40895,0.47235,2.58786,0.335006,14
2.19855,0.773031,2.29705,0.334585,2.61441,0.507693,14
2.59985,0.566769,2.32629,0.348956,2.42419,0.70758,14
2.77553,0.529441,2.69813,0.606123,2.47106,0.282809,15
2.58784,0.420523,2.36211,0.272951,2.79969,0.678842,14
2.12925,0.782306,2.6854,0.618776,2.47242,0.465533,14
2.38273,0.671899,2.68951,0.607154,2.48729,0.649444,14
2.91259,0.454099,2.43598,0.492783,2.46623,0.440515,14
2.92077,0.456814,2.17612,0.23999,2.39317,0.392716,14
2.2909,0.955796,2.41908,0.460828,2.38446,0.480435,14
2.83008,0.541895,2.56501,0.481088,2.54117,0.495796,15
2.81153,0.666028,2.38522,0.363152,2.49122,0.738518,14
2.92499,0.794179,2.44787,0.313124,2.70072,0.650361,14
2.86127,0.593095,2.56255,0.441404,2.60652,0.586515,14
2.38519,0.801039,2.50096,0.446468,2.64399,0.569156,14
2.39428,0.66489,2.61271,0.706352,2.54115,0.612216,14
2.79261,0.836565,2.60273,0.68504,2.6494,0.645394,14
2.43771,0.850763,2.40893,0.582762,2.27039,0.369236,14
2.11898,0.70471,2.36947,0.457763,2.34066,0.160214,14
2.53313,0.688336,2.27987,0.484338,2.3628,0.450628,14
2.96897,0.891364,2.45554,0.343457,2.35581,0.384839,14
2.75391,0.978753,2.69031,0.632501,2.55192,0.649449,14
2.50247,0.688868,2.5122,0.456997,2.44802,0.729456,14
2.06741,0.615228,2.38977,0.295947,2.30296,0.297509,14
2.19624,0.957354,2.57698,0.452003,2.43179,0.417465,14
2.48662,0.559882,2.64217,0.498069,2.82901,0.656535,14
2.01456,0.638801,2.25254,0.427162,2.56715,0.44065,14
2.29857,0.14449,2.25507,0.452464,2.72829,0.76985,15
2.4098,0.147367,2.72234,0.645229,2.46771,0.379084,15
2.89385,0.297981,2.26291,0.29469,2.51933,0.477824,15
2.44092,0.343941,2.65698,0.64972,2.51764,0.501072,15
2.46258,0.00958179,2.73945,0.636401,2.50732,0.413078,15
2.25913,0.607525,2.54007,0.582604,2.42069,0.746998,15
2.78616,0.223949,2.39779,0.455561,2.48843,0.661467,15
2.72128,0.186975,2.3301,0.421561,2.56314,0.358379,15
2.66404,0.145678,2.56194,0.655294,2.57984,0.488002,15
2.80448,0.019996,2.62909,0.627015,2.2959,0.444199,15
2.90802,0.346996,2.55914,0.516348,2.61598,0.807795,15
2.76853,0.226043,2.46535,0.649317,2.21842,0.628822,15
2.37613,0.100079,2.34663,0.272137,2.71601,0.53781,15
2.17268,0.48315,2.62782,0.529441,2.554,0.571145,14
2.56019,0.175535,2.74505,0.627748,2.39569,0.357627,15
2.42044,0.463258,2.50352,0.625333,2.27663,0.407868,15
2.9125,0.323229,2.50094,0.42643,2.65552,0.565647,15
2.86489,0.060367,2.49627,0.256925,2.37518,0.299418,15
2.44794,0.145008,2.49373,0.643148,2.48605,0.554213,15
2.27276,0.0343426,2.33072,0.292813,2.34092,0.495697,15
2.71471,0.207784,2.48387,0.352202,2.7058,0.405525,15
2.53956,0.0922894,2.47737,0.325388,2.36827,0.442208,15
2.85957,0.0225582,2.47643,0.348089,2.45629,0.472151,15
2.49389,0.46399,2.56561,0.503257,2.51054,0.534584,15
2.4802,0.00387828,2.66186,0.690289,2.59455,0.387428,15
2.82949,0.23721,2.6187,0.31391,2.71125,0.593689,15
2.1578,0.529791,2.30951,0.508794,2.37401,0.474231,14
2.37405,0.432454,2.50567,0.534338,2.5617,0.470308,15
2.97897,0.247392,2.57951,0.651323,2.63229,0.665793,15
2.71402,0.206636,2.14855,0.348682,2.45471,0.369685,15
2.54982,0.169669,2.65432,0.343407,2.2875,0.419094,15
2.59499,0.0962253,2.50647,0.481151,2.42818,0.557865,15
2.40162,0.248308,2.68112,0.274411,2.41665,0.462087,15
2.47076,0.253632,2.2436,0.686558,2.53745,0.650882,15
2.07447,0.354301,2.44648,0.475552,2.24615,0.691151,15
2.80238,0.133486,2.78498,0.617929,2.2374,0.292462,15
2.00238,0.17428,2.5293,0.689567,2.56736,0.634099,15
2.02876,0.260385,2.45261,0.807547,2.47039,0.351722,15
2.01361,0.371497,2.82646,0.733511,2.72616,0.572402,15
2.91914,0.322586,2.13173,0.435221,2.44141,0.350248,15
2.77579,0.252733,2.50039,0.637264,2.60789,0.691624,15
2.7733,0.164983,2.39499,0.447667,2.34592,0.327901,15
2.25681,0.165458,2.34657,0.129263,2.27512,0.486571,15
2.1705,0.400776,2.65356,0.55735,2.6318,0.513626,15
2.14084,0.339996,2.59539,0.367208,2.40728,0.247924,15
2.49475,0.00843471,2.39737,0.442396,2.64459,0.505942,15
2.05397,0.525144,2.64443,0.635584,2.57142,0.705271,15
2.24913,0.561716,2.55342,0.663442,2.32845,0.371432,14
2.23495,0.378088,2.26386,0.423683,2.43382,0.340757,15
2.71241,0.250705,2.31375,0.336329,2.55222,0.651133,15
2.61465,0.5008,2.68686,0.447149,2.64241,0.561589,14
2.58246,0.490265,2.22479,0.55282,2.37337,0.510465,14
2.53171,0.793567,2.71307,0.538038,2.42146,0.133252,14
2.24202,0.780223,2.55727,0.288293,2.49037,0.547191,14
2.6554,0.954528,2.54831,0.810781,2.39883,0.414231,14
2.38572,0.696673,2.50126,0.550034,2.36804,0.393027,14
2.41108,0.770403,2.30285,0.505665,2.05871,0.402512,14
2.55042,0.935051,2.3674,0.456714,2.35621,0.371031,14
2.18146,0.903035,2.43228,0.411704,2.33888,0.282304,14
2.76583,0.594853,2.42026,0.586558,2.38251,0.411228,15
2.31332,0.837126,2.59936,0.493921,2.6279,0.655441,14
2.84556,0.656279,2.82991,0.752256,2.45284,0.414015,14
2.4963,0.618137,2.54753,0.66983,2.43034,0.360929,14
2.91208,0.932411,2.48644,0.54882,2.76282,0.835345,14
2.04054,0.849045,2.32945,0.377643,2.37581,0.319023,14
2.14916,0.800621,2.54322,0.420301,2.42075,0.562748,14
2.9287,0.592929,2.2323,0.356634,2.50099,0.59291,14
2.05479,0.810489,2.66822,0.56194,2.50245,0.437493,14
2.24857,0.822906,2.60256,0.538815,2.37188,0.476665,14
2.50242,0.532166,2.50409,0.323778,2.48227,0.331876,14
2.40629,0.914901,2.35228,0.319832,2.50697,0.224092,14
2.30152,0.74749,2.53468,0.512965,2.51578,0.347542,14
2.09265,0.82472,2.45761,0.446456,2.40299,0.316193,14
2.084,0.976685,2.54264,0.431449,2.45557,0.379704,14
2.35714,0.948817,2.37306,0.398959,2.59141,0.417607,14
2.74444,0.91767,2.51896,0.595252,2.59595,0.515044,14
2.13743,0.964456,2.58799,0.365545,2.28492,0.617314,14
2.48608,0.986162,2.42821,0.352326,2.34061,0.332829,14
2.8621,0.692015,2.38575,0.491901,2.50841,0.377984,14
2.86251,0.887024,2.50205,0.361431,2.42454,0.510853,14
