@relation D14
@attribute att15 real
@attribute att16 real
@attribute class {14,15}
@data
2.27692,0.685931,15
2.21409,0.0315046,15
2.8363,0.0649129,15
2.20145,0.637271,15
2.29198,0.470873,14
2.29204,0.0795393,15
2.83143,0.0817986,15
2.18517,0.0196106,15
2.01952,0.395107,15
2.51839,0.344032,15
2.0981,0.00643629,15
2.78013,0.249952,15
2.40526,0.847093,14
2.54827,0.823038,14
2.45642,0.987806,14
2.07007,0.8838,14
2.79147,0.970789,14
2.557,0.890169,14
2.02773,0.982004,14
2.78377,0.8453,14
2.23351,0.899965,14
2.71772,0.450768,15
2.22129,0.915045,14
2.18362,0.83585,14
2.09996,0.871493,14
2.11311,0.823198,14
2.29915,0.895409,14
2.71184,0.929995,14
2.60832,0.888223,14
2.01332,0.691167,14
2.00188,0.707119,14
2.50242,0.532166,14
2.59022,0.507209,14
2.30152,0.74749,14
2.82448,0.801809,14
2.73999,0.952896,14
2.87512,0.617922,14
2.68226,0.694643,14
2.404,0.957687,14
2.47751,0.617977,14
2.12925,0.782306,14
2.18159,0.817631,14
2.27529,0.898338,14
2.12631,0.739905,14
2.84701,0.512442,15
2.95181,0.844552,14
2.10268,0.903406,14
2.25386,0.919648,14
2.83172,0.989503,14
2.10041,0.752327,14
2.22516,0.883753,14
2.79261,0.836565,14
2.66234,0.577066,14
2.39135,0.77409,14
2.66362,0.684238,14
2.14381,0.732832,14
2.75391,0.978753,14
2.67936,0.894199,14
2.11985,0.673561,14
2.89996,0.468062,14
2.65138,0.40624,14
2.78471,0.00380366,15
2.70905,0.145316,15
2.4098,0.147367,15
2.00229,0.115659,15
2.81193,0.160564,15
2.67391,0.102706,15
2.28531,0.437164,14
2.90986,0.247385,15
2.08457,0.433564,15
2.00217,0.000179595,15
2.29649,0.0657893,15
2.77223,0.185435,15
2.87244,0.232622,15
2.33889,0.275064,15
2.77918,0.10489,15
2.32753,0.666467,15
2.42044,0.463258,15
2.17795,0.586917,15
2.92549,0.165444,15
2.5669,0.00462014,15
2.24207,0.0404078,15
2.18507,0.449354,14
2.75554,0.179108,15
2.25395,0.115204,15
2.34468,0.69577,15
2.95658,0.284646,15
2.93001,0.144482,15
2.39371,0.134272,15
2.1578,0.529791,14
2.75203,0.0174786,15
2.84269,0.0288896,15
2.98141,0.0945026,15
2.41284,0.031146,15
2.59499,0.0962253,15
2.82818,0.0479064,15
2.8949,0.304427,15
2.08094,0.52738,15
2.4258,0.217542,15
2.02623,0.527377,15
2.82381,0.167578,15
2.67976,0.00194065,15
2.0735,0.0086912,15
2.04918,0.24834,15
2.29849,0.630597,15
2.25681,0.165458,15
2.2236,0.743973,15
2.61094,0.286706,15
2.75877,0.211569,15
2.05397,0.525144,15
2.76223,0.238678,15
2.23264,0.0316857,15
2.24356,0.752416,14
2.63049,0.573197,14
2.15162,0.842302,14
2.5553,0.422022,14
2.5601,0.438696,14
2.93509,0.471766,14
2.24176,0.836256,14
2.68222,0.29094,14
2.77669,0.787671,14
2.23642,0.904221,14
2.83792,0.484193,15
2.7008,0.624917,14
2.4963,0.618137,14
2.58047,0.625121,14
2.9786,0.664923,14
2.59892,0.401216,14
2.9287,0.592929,14
2.59084,0.464988,14
2.61749,0.640986,14
2.2243,0.990135,14
2.47511,0.753037,14
2.33264,0.87205,14
2.49407,0.686079,14
2.084,0.976685,14
2.37033,0.788639,14
2.8982,0.644193,14
2.71165,0.296021,14
2.42472,0.934784,14
2.14774,0.845041,14
2.89968,0.713292,14
2.21848,0.820335,14
2.2541,0.857881,14
2.69096,0.562149,15
2.46965,0.808498,14
2.57862,0.932941,14
2.4022,0.793701,14
2.91226,0.605746,14
2.85187,0.880089,14
2.06083,0.615301,14
2.65828,0.503285,15
2.29722,0.947387,14
2.61424,0.888371,14
2.3222,0.911656,14
2.58008,0.563267,14
2.31519,0.73652,14
2.10667,0.972892,14
2.45755,0.611224,14
2.00736,0.551326,14
2.0188,0.589162,14
2.64993,0.839362,14
2.07447,0.809092,14
2.64392,0.178607,15
2.74831,0.228011,15
2.89385,0.297981,15
2.71847,0.11297,15
2.52067,0.425001,15
2.25913,0.607525,15
2.89185,0.219153,15
2.49478,0.115162,15
2.61826,0.314934,15
2.20827,0.479484,14
2.84006,0.237062,15
2.3727,0.0761607,15
2.57043,0.264568,15
2.89811,0.074953,15
2.09891,0.233646,15
2.4712,0.0924882,15
2.06351,0.350909,15
2.63566,0.241228,15
2.67952,0.132121,15
2.05653,0.364187,15
2.12648,0.195662,15
2.6868,0.177469,15
2.44448,0.403647,15
2.49389,0.46399,15
2.32415,0.655325,15
2.72024,0.165072,15
2.82144,0.106471,15
2.32812,0.291268,15
2.83634,0.0546559,15
2.12511,0.642262,15
2.26504,0.357143,15
2.65272,0.187564,15
2.12792,0.580298,15
2.05967,0.540544,15
2.48763,0.368411,15
2.20348,0.485385,14
2.19391,0.384954,15
2.45203,0.242239,15
2.89374,0.00723981,15
2.19041,0.0359496,15
2.92436,0.0134814,15
2.3346,0.0976955,15
2.76024,0.0355311,15
2.42772,0.524328,15
2.92278,0.37199,15
2.49475,0.00843471,15
2.82105,0.0656451,15
2.23495,0.378088,15
2.99328,0.317507,15
2.61465,0.5008,14
2.67419,0.63374,14
2.00581,0.727594,14
2.08178,0.743204,14
2.8717,0.966478,14
2.95192,0.804851,14
2.73526,0.661068,14
2.46377,0.682499,14
2.18146,0.903035,14
2.38476,0.740368,14
2.01352,0.87306,14
2.89476,0.683471,14
2.77981,0.409523,15
2.5775,0.761376,14
2.79444,0.416333,15
2.91207,0.596136,14
2.14916,0.800621,14
2.95214,0.775148,14
2.9157,0.989662,14
2.73783,0.345671,14
2.20092,0.797419,14
2.18766,0.944623,14
2.34189,0.776,14
2.58349,0.645283,14
2.93488,0.666681,14
2.7121,0.279406,14
2.81727,0.28642,14
2.13743,0.964456,14
2.82174,0.670726,14
2.8621,0.692015,14
2.38273,0.671899,14
2.54576,0.496555,14
2.92077,0.456814,14
2.23568,0.768598,14
2.00862,0.961499,14
2.49918,0.775475,14
2.92492,0.548068,14
2.78104,0.971443,14
2.20234,0.955466,14
2.8547,0.850517,14
2.31747,0.769933,14
2.05762,0.929667,14
2.7329,0.534821,15
2.2356,0.786322,14
2.15572,0.861148,14
2.22291,0.776928,14
2.65908,0.660034,14
2.45689,0.886235,14
2.85609,0.359673,14
2.79931,0.626799,14
2.9073,0.172537,15
2.88437,0.30695,15
2.87911,0.319271,15
2.44092,0.343941,15
2.20159,0.348484,15
2.29938,0.12227,15
2.78616,0.223949,15
2.80336,0.129959,15
2.01813,0.331995,15
2.3321,0.545378,14
2.51621,0.245052,15
2.16457,0.204782,15
2.77194,0.0509843,15
2.13047,0.268756,15
2.56813,0.299007,15
2.29582,0.732178,15
2.9125,0.323229,15
2.83167,0.219885,15
2.82486,0.109979,15
2.89442,0.0725573,15
2.32926,0.467734,14
2.11129,0.0971123,15
2.48035,0.257784,15
2.67916,0.267448,15
2.73211,0.0608419,15
2.60894,0.146693,15
2.65372,0.129059,15
2.42098,0.0902241,15
2.15562,0.359917,15
2.8938,0.0884955,15
2.28626,0.602051,15
2.23525,0.58916,14
2.56612,0.325206,15
2.9309,0.3714,15
2.47076,0.253632,15
2.31305,0.252741,15
2.20934,0.640879,15
2.18416,0.616484,15
2.02876,0.260385,15
2.53109,0.192275,15
2.91914,0.322586,15
2.50875,0.0346996,15
2.7733,0.164983,15
2.41425,0.0368956,15
2.4029,0.18848,15
2.97449,0.457905,15
2.4763,0.534994,15
2.52971,0.255685,15
2.82157,0.252635,15
2.71241,0.250705,15
2.2776,0.883875,14
2.46966,0.699523,14
2.34469,0.718435,14
2.15926,0.724373,14
2.60559,0.798966,14
2.14752,0.7195,14
2.80398,0.342568,14
2.55042,0.935051,14
2.16155,0.755934,14
2.80171,0.575839,15
2.95421,0.613479,14
2.90931,0.631803,14
2.26455,0.938978,14
2.59641,0.966504,14
2.7566,0.747387,14
2.49211,0.745638,14
2.50595,0.516678,14
2.74853,0.49013,15
2.73571,0.808053,14
2.89031,0.989642,14
2.5206,0.729767,14
2.48631,0.583809,14
2.64403,0.326262,14
2.04142,0.721221,14
2.67295,0.783728,14
2.33474,0.747662,14
2.47241,0.750627,14
2.49355,0.886309,14
2.62111,0.930832,14
2.45356,0.72747,14
2.42393,0.915577,14
2.95259,0.799577,14
2.48154,0.980681,14
2.0615,0.629856,14
2.83008,0.541895,15
2.81153,0.666028,14
2.67007,0.946514,14
2.06103,0.811886,14
2.5803,0.856799,14
2.39428,0.66489,14
2.07691,0.699873,14
2.23442,0.949898,14
2.39511,0.886478,14
2.82785,0.877365,14
2.63098,0.512382,14
2.69851,0.98306,14
2.50247,0.688868,14
2.91208,0.671701,14
2.41002,0.904608,14
2.48662,0.559882,14
2.8206,0.412007,14
2.18511,0.318131,15
2.66357,0.20974,15
2.62003,0.176836,15
2.7039,0.250448,15
2.31326,0.175212,15
2.99855,0.15543,15
2.33975,0.170837,15
2.25781,0.347704,15
2.83751,0.00509792,15
2.96843,0.163708,15
2.61779,0.151871,15
2.17784,0.390534,15
2.15437,0.393903,15
2.17268,0.48315,14
2.95762,0.333827,15
2.91429,0.216111,15
2.34616,0.393723,15
2.05027,0.381088,15
2.5695,0.366203,15
2.13865,0.322911,15
2.14199,0.184161,15
2.93771,0.292315,15
2.44203,0.567357,15
2.92868,0.116066,15
2.72878,0.21603,15
2.06157,0.274808,15
2.27457,0.0123372,15
2.26823,0.251849,15
2.2016,0.434527,14
2.73498,0.000587158,15
2.57909,0.347289,15
2.80896,0.000103023,15
2.09878,0.526077,15
2.94171,0.0237903,15
2.92509,0.379078,15
2.74201,0.128168,15
2.55505,0.0575691,15
2.48682,0.395563,15
2.07139,0.231542,15
2.11445,0.327859,15
2.84456,0.212814,15
2.3212,0.366711,15
2.36188,0.178869,15
2.00966,0.357977,15
2.63519,0.182302,15
2.36093,0.654298,15
2.8018,0.17644,15
2.91602,0.0460745,15
2.57176,0.0428154,15
2.52273,0.510245,14
2.69305,0.919945,14
2.15466,0.712015,14
2.39673,0.900717,14
2.37119,0.818997,14
2.38572,0.696673,14
2.81822,0.555771,15
2.20237,0.873872,14
2.23343,0.980105,14
2.89382,0.670791,14
2.31332,0.837126,14
2.84556,0.656279,14
2.91137,0.812567,14
2.86992,0.686218,14
2.76012,0.892493,14
2.07249,0.827124,14
2.69096,0.835461,14
2.03808,0.940327,14
2.48232,0.562412,14
2.27806,0.833676,14
2.63328,0.984595,14
2.63876,0.668344,14
2.95382,0.616096,14
2.88564,0.796518,14
2.23864,0.916663,14
2.74444,0.91767,14
2.59985,0.566769,14
2.43426,0.88111,14
2.45111,0.759376,14
2.86251,0.887024,14
2.83876,0.466607,15
2.85222,0.945763,14
2.35425,0.896732,14
2.37653,0.743849,14
2.45069,0.788062,14
2.97553,0.726687,14
2.14707,0.886249,14
2.23919,0.944087,14
2.6085,0.852427,14
2.43705,0.956814,14
2.8222,0.471062,15
2.43771,0.850763,14
2.11898,0.70471,14
2.17723,0.808484,14
2.56456,0.792145,14
2.48944,0.91313,14
2.49305,0.544838,14
2.46481,0.981905,14
2.28187,0.947863,14
2.69121,0.773153,14
2.17088,0.601015,15
2.72688,0.113249,15
2.4513,0.409809,15
2.24643,0.508588,14
2.13097,0.00418846,15
2.55628,0.27084,15
2.59382,0.294562,15
2.59519,0.0343046,15
2.54407,0.0189814,15
2.10717,0.0562466,15
2.71568,0.197987,15
2.27206,0.0603386,15
2.90108,0.157102,15
2.80174,0.13867,15
2.25542,0.629242,15
2.85353,0.062186,15
2.57854,0.155421,15
2.36378,0.0330655,15
2.47532,0.281149,15
2.27276,0.0343426,15
2.55946,0.206834,15
2.82117,0.10446,15
2.64556,0.0596511,15
2.30025,0.19703,15
2.31324,0.544042,14
2.77098,0.148363,15
2.71084,0.255361,15
2.27496,0.083951,15
2.14684,0.51279,15
2.71402,0.206636,15
2.72608,0.243071,15
2.86574,0.306649,15
2.33689,0.455631,14
2.40162,0.248308,15
2.63483,0.180073,15
2.07447,0.354301,15
2.58694,0.242242,15
2.98447,0.319536,15
2.43739,0.00474762,15
2.78069,0.163299,15
2.93275,0.279013,15
2.77579,0.252733,15
2.5385,0.194314,15
2.1715,0.0991505,15
2.60321,0.0010215,15
2.09871,0.0971145,15
2.31693,0.0713339,15
2.25574,0.183201,15
2.61691,0.0944743,15
2.24913,0.561716,14
2.02044,0.158817,15
2.25286,0.950758,14
2.78845,0.60148,14
2.71693,0.741881,14
2.69939,0.463293,15
2.24202,0.780223,14
2.00868,0.971675,14
2.28552,0.997773,14
2.89629,0.454011,14
2.99784,0.749908,14
2.97721,0.669933,14
2.07772,0.976657,14
2.96263,0.956509,14
2.19623,0.915457,14
2.84042,0.955848,14
2.58038,0.884024,14
2.75658,0.991768,14
2.12483,0.854809,14
2.45863,0.620696,14
2.24857,0.822906,14
2.37181,0.980418,14
2.47652,0.570353,14
2.84197,0.936985,14
2.09694,0.881215,14
2.09518,0.99083,14
2.35714,0.948817,14
2.11945,0.857949,14
2.61804,0.900125,14
2.77553,0.529441,15
2.28529,0.821579,14
2.95619,0.909901,14
2.37677,0.909404,14
2.7359,0.338092,14
2.27498,0.90202,14
2.39581,0.706717,14
2.37228,0.926263,14
2.92499,0.794179,14
2.16491,0.75572,14
2.49334,0.699547,14
2.69134,0.693366,14
2.32639,0.892981,14
2.29986,0.918301,14
2.66106,0.739078,14
2.41056,0.990898,14
2.96897,0.891364,14
2.69845,0.478232,15
2.41246,0.640491,14
2.5993,0.723153,14
2.06741,0.615228,14
2.68641,0.871968,14
2.16391,0.734951,14
2.76344,0.201766,15
2.56768,0.301638,15
2.02258,0.154671,15
2.41703,0.521156,15
2.67953,0.110008,15
2.82077,0.105539,15
2.27953,0.438872,14
2.40584,0.381776,15
2.33714,0.676727,15
2.6121,0.143313,15
2.44896,0.0584413,15
2.90802,0.346996,15
2.61446,0.162781,15
2.52032,0.15494,15
2.99056,0.41136,15
2.18194,0.546808,14
2.42169,0.516783,15
2.37595,0.474177,15
2.46947,0.283786,15
2.69032,0.178809,15
2.37438,0.535718,15
2.06115,0.184009,15
2.76837,0.220336,15
2.89994,0.0399044,15
2.54907,0.144814,15
2.3628,0.0386018,15
2.46602,0.0161807,15
2.37405,0.432454,15
2.97897,0.247392,15
2.90524,0.0650827,15
2.14001,0.642543,15
2.91237,0.112087,15
2.98868,0.356792,15
2.17434,0.469083,14
2.41364,0.454884,15
2.40388,0.538093,15
2.60493,0.216088,15
2.00238,0.17428,15
2.83498,0.00886742,15
2.29319,0.66354,15
2.57561,0.248948,15
2.86839,0.0417125,15
2.12252,0.305054,15
2.99573,0.30373,15
2.1705,0.400776,15
2.58098,0.326793,15
2.74118,0.146115,15
2.92739,0.123116,15
2.89783,0.137438,15
2.1445,0.340006,15
